ED,Median earned income per commuter travelling less than 30 minutes (Euro) by Electoral Division and Year,Median earned income per commuter travelling greater than 30 minutes,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",Proportion of households working age social welfare was majority of household income (%) by Electoral Division and Year
"045 Cloonee, Co. Longford",28759.00,41994.00,5.10,9.50,9.20,8.00,20.30,31.80,16.10,12.00
"046 Corboy, Co. Longford",26858.00,49006.00,10.70,5.90,11.30,11.10,9.80,29.60,21.50,12.40
"047 Drumgort, Co. Longford",27568.00,33588.00,7.10,12.20,8.60,8.80,16.40,31.00,16.00,8.80
"048 Drumlish, Co. Longford",24557.00,35184.00,4.20,6.70,9.90,9.60,17.10,33.60,18.90,18.30
"049 Killashee, Co. Longford",27206.00,36558.00,7.00,4.70,10.80,8.20,17.10,34.20,17.90,16.30
"050 Killoe, Co. Longford",24251.00,36507.00,14.80,11.00,14.30,5.80,13.40,27.00,13.70,20.00
"051 Longford Rural (Part Urban), Co. Longford",24354.00,33841.00,2.10,4.50,13.90,7.30,22.10,30.00,20.20,24.60
"052 Mountdavis, Co. Longford",33269.00,48755.00,7.70,2.50,11.20,8.40,20.00,32.60,17.50,3.80
"053 Moydow, Co. Longford",28597.00,45495.00,8.30,5.90,10.90,7.20,17.90,36.10,13.60,9.80
"054 Newtown Forbes, Co. Longford",26443.00,25636.00,4.30,5.30,12.50,7.50,10.20,37.90,22.30,23.00
"055 Rathcline, Co. Longford",27494.00,40713.00,5.00,7.70,8.30,9.00,19.50,35.00,15.40,15.50
"001 Fair Gate, Co. Louth",24540.00,32600.00,0.50,4.50,13.30,8.60,12.60,37.50,23.00,20.70
"002 St. Laurence Gate, Co. Louth",25756.00,42944.00,0.70,2.90,14.70,12.60,12.90,30.60,25.70,12.30
"003 West Gate, Co. Louth",24924.00,36669.00,0.50,4.50,16.60,9.30,14.40,27.40,27.30,19.50
"004 Dundalk Urban No. 1, Co. Louth",25200.00,34583.00,1.30,3.80,16.00,10.90,15.50,27.00,25.40,23.10
"005 Dundalk Urban No. 2, Co. Louth",21000.00,30924.00,2.10,7.50,19.00,12.30,17.30,20.90,20.90,26.70
"006 Dundalk Urban No. 3, Co. Louth",25750.00,36000.00,1.20,4.50,19.40,13.50,10.40,30.50,20.40,17.00
"007 Dundalk Urban No. 4, Co. Louth",26748.00,40281.00,0.50,3.50,16.70,10.70,14.40,32.10,22.10,16.60
"008 Ardee Rural, Co. Louth",29239.00,39111.00,6.50,7.50,12.00,10.10,12.40,32.20,19.40,7.60
"009 Ardee Urban, Co. Louth",26256.00,34821.00,1.00,7.70,10.10,9.10,14.90,34.50,22.80,22.90
"010 Castlebellingham, Co. Louth",29430.00,45141.00,2.70,5.60,13.30,11.10,14.80,28.40,24.20,13.90
"011 Clonkeen, Co. Louth",28017.00,46192.00,10.40,7.30,9.30,14.20,11.30,26.30,21.30,9.30
"012 Collon, Co. Louth",28336.00,41100.00,3.50,7.20,14.10,9.30,17.50,29.80,18.70,12.40
"013 Dromin, Co. Louth",33201.00,43787.00,9.10,10.80,10.80,12.80,11.80,27.40,17.30,7.20
"014 Dromiskin, Co. Louth",28395.00,45855.00,2.30,4.20,12.70,11.30,16.80,31.50,21.20,13.40
"015 Drumcar, Co. Louth",32859.00,39124.00,5.80,4.40,10.40,9.70,17.40,30.40,22.00,10.60
"016 Dunleer, Co. Louth",27056.00,39290.00,2.20,7.40,12.50,10.60,17.30,25.50,24.60,12.20
"017 Stabannan, Co. Louth",31274.00,45299.00,8.50,7.30,14.50,12.40,14.10,23.60,19.60,5.60
"018 Tallanstown, Co. Louth",24206.00,39526.00,6.40,12.80,8.80,10.70,11.30,29.20,20.70,13.80
"019 Ballymascanlan, Co. Louth",28777.00,44877.00,2.60,5.60,14.40,9.40,11.30,30.30,26.30,10.10
"020 Barronstown, Co. Louth",29414.00,42574.00,6.60,4.90,15.10,12.70,15.60,31.90,13.30,7.00
"021 Carlingford, Co. Louth",23859.00,44345.00,2.30,4.50,12.60,15.30,14.80,24.80,25.70,17.70
"022 Castlering, Co. Louth",31056.00,53279.00,8.20,5.50,14.20,10.20,8.40,31.80,21.60,8.40
"023 Castletown (Part Urban), Co. Louth",25110.00,37049.00,2.20,4.50,15.10,10.70,13.90,29.80,23.70,25.80
"024 Creggan Upper, Co. Louth",26761.00,34220.00,5.10,9.50,12.50,8.70,11.70,28.60,23.80,11.60
"025 Darver, Co. Louth",30959.00,44536.00,7.50,6.50,11.90,12.50,10.10,30.30,21.30,10.60
"026 Drummullagh, Co. Louth",23653.00,49268.00,2.40,8.50,10.70,11.60,20.50,23.80,22.50,23.30
"027 Dundalk Rural (Part Urban), Co. Louth",26000.00,38407.00,0.40,2.60,18.00,11.30,14.10,30.80,22.80,24.10
"028 Faughart, Co. Louth",26121.00,54003.00,3.90,10.10,13.20,10.30,12.10,27.60,22.80,13.70
"029 Greenore, Co. Louth",29128.00,42770.00,4.10,5.30,12.10,11.60,16.30,23.60,27.00,10.60
"030 Haggardstown (Part Urban), Co. Louth",33092.00,48782.00,0.40,3.20,16.80,16.20,11.20,33.90,18.30,8.90
"031 Jenkinstown, Co. Louth",30830.00,46635.00,3.20,6.10,12.80,11.90,12.30,25.60,28.10,5.90
"032 Killanny, Co. Louth",27763.00,33133.00,9.90,9.80,10.70,10.60,15.70,23.30,20.10,10.20
"033 Louth, Co. Louth",28539.00,43742.00,5.80,9.60,11.40,11.70,10.30,34.70,16.60,13.90
"034 Mansfieldstown, Co. Louth",29772.00,35936.00,5.60,9.50,11.80,11.60,13.60,26.60,21.40,11.40
"035 Rathcor, Co. Louth",28380.00,33444.00,4.40,5.70,14.10,9.40,15.20,24.30,26.90,12.00
"036 Ravensdale, Co. Louth",28013.00,54647.00,3.80,6.40,15.60,13.50,13.10,27.20,20.30,9.90
"037 Clogher, Co. Louth",27428.00,42183.00,4.20,6.90,11.30,10.60,12.40,33.30,21.30,11.30
"038 Dysart, Co. Louth",32616.00,51705.00,6.40,5.60,10.30,11.00,13.30,28.10,25.20,5.60
"039 Monasterboice, Co. Louth",33465.00,50527.00,3.90,7.40,11.70,11.80,10.80,30.70,23.70,5.40
"040 Mullary, Co. Louth",33311.00,43936.00,3.90,7.10,13.00,10.10,15.20,30.50,20.30,5.50
"041 St. Peter's (Part Urban), Co. Louth",26277.00,40433.00,1.30,5.00,14.30,10.20,12.40,31.10,25.60,16.50
"042 Termonfeckin, Co. Louth",32379.00,45838.00,2.80,4.30,14.60,14.90,12.40,31.10,19.80,8.80
"047 St. Mary's (Part Urban), Co. Louth",26105.00,44490.00,0.50,3.20,16.40,12.20,12.00,31.00,24.70,18.80
"001 Ceannanus Mór (Kells) Urban, Co. Meath",21413.00,32511.00,3.30,9.30,12.60,12.50,15.30,23.70,23.30,30.30
"002 Navan Urban, Co. Meath",21580.00,33846.00,2.30,5.00,15.50,9.00,17.30,27.40,23.40,20.50
"003 Trim Urban, Co. Meath",20800.00,32928.00,2.40,6.30,15.60,9.90,12.60,30.30,23.00,14.70
"004 Drumcondra, Co. Meath",26335.00,34540.00,10.40,7.20,12.10,9.80,12.00,23.90,24.50,11.80
"005 Grangegeeth, Co. Meath",24773.00,46500.00,6.90,13.30,15.80,9.80,15.10,21.30,17.90,10.00
"006 Killary, Co. Meath",28124.00,38218.00,8.50,8.60,9.30,10.70,16.20,25.70,21.10,8.60
"007 Culmullin, Co. Meath",33057.00,47566.00,6.80,7.20,18.80,14.40,7.50,28.80,16.50,1.50
"008 Donaghmore, Co. Meath",28573.00,39917.00,0.80,5.80,17.80,15.80,8.70,24.50,26.50,8.20
"009 Dunboyne, Co. Meath",33533.00,43604.00,1.10,5.40,19.10,18.40,9.40,27.00,19.40,5.30
"010 Dunshaughlin, Co. Meath",31931.00,44278.00,1.30,5.80,16.10,17.80,8.90,29.90,20.20,7.10
"011 Kilbrew, Co. Meath",30019.00,40276.00,2.10,5.20,18.40,15.50,7.50,24.00,27.20,6.70
"012 Killeen, Co. Meath",29868.00,44631.00,4.20,6.00,22.10,14.40,6.80,29.40,16.90,4.20
"013 Kilmessan, Co. Meath",29645.00,41452.00,5.10,7.80,15.40,14.30,11.30,28.20,18.00,6.20
"014 Kilmore, Co. Meath",31867.00,42483.00,3.60,8.10,14.40,17.70,9.40,28.60,18.20,5.60
"015 Rathfeigh, Co. Meath",32170.00,45455.00,4.20,8.00,13.20,16.00,10.50,28.00,20.10,5.30
"016 Ratoath, Co. Meath",35167.00,47568.00,0.50,4.80,17.20,19.40,8.70,24.80,24.60,6.00
"017 Rodanstown, Co. Meath",35535.00,48061.00,5.60,7.80,13.20,15.70,12.30,27.60,17.80,3.90
"018 Skreen, Co. Meath",32661.00,45793.00,5.50,8.60,14.30,18.00,9.60,24.90,19.10,4.00
"019 Ardagh, Co. Meath",27825.00,36970.00,7.70,11.40,10.90,9.10,22.80,21.00,17.10,12.70
"020 Ballinlough, Co. Meath",22699.00,33112.00,11.80,9.00,11.30,10.90,17.80,19.40,19.80,13.40
"021 Balrathboyne, Co. Meath",27852.00,46870.00,7.30,10.30,12.60,11.10,14.20,27.50,17.10,9.80
"022 Boherboy, Co. Meath",28525.00,39134.00,6.30,11.00,12.60,8.30,12.10,25.40,24.30,5.10
"023 Burry, Co. Meath",32949.00,34801.00,8.60,9.00,11.80,13.40,17.30,24.20,15.70,6.80
"024 Carrickleck, Co. Meath",30933.00,38127.00,7.00,7.30,12.30,6.80,27.80,21.00,17.70,8.30
"025 Castlekeeran, Co. Meath",25729.00,33800.00,9.80,8.50,11.80,7.20,18.00,24.50,20.20,10.00
"026 Ceannanus Mór (Kells) Rural (Part Urban), Co. Meath",26660.00,36099.00,1.90,7.90,13.30,9.60,15.40,31.30,20.60,10.80
"027 Cruicetown, Co. Meath",29432.00,30789.00,12.70,10.70,8.70,8.10,17.80,22.90,19.10,10.90
"028 Girley, Co. Meath",22218.00,48862.00,9.10,12.60,13.30,13.00,11.30,23.60,17.00,11.30
"029 Kilmainham, Co. Meath",27214.00,32780.00,9.00,9.30,7.50,7.10,24.90,24.50,17.70,18.30
"030 Kilskeer, Co. Meath",27471.00,46686.00,10.60,10.10,11.40,9.40,14.60,26.90,17.10,9.00
"031 Loughan, Co. Meath",30243.00,42675.00,9.20,9.70,17.00,10.10,13.20,23.60,17.10,11.80
"032 Maperath, Co. Meath",30037.00,48637.00,7.50,7.90,14.70,19.30,10.00,28.80,11.90,12.50
"033 Martry, Co. Meath",30655.00,37275.00,5.70,8.50,11.80,9.90,16.60,28.90,18.60,6.70
"034 Moybolgue, Co. Meath",25810.00,30764.00,10.40,11.90,8.50,3.60,21.10,25.00,19.60,8.80
"035 Moynalty, Co. Meath",27433.00,37518.00,11.10,8.70,11.80,8.20,13.70,29.30,17.20,10.30
"036 Newcastle, Co. Meath",32020.00,35700.00,10.80,7.30,9.80,7.00,23.10,22.10,19.90,6.80
"037 Newtown, Co. Meath",25001.00,35150.00,3.20,13.50,15.10,8.40,16.70,23.90,19.10,15.30
"038 Nobber, Co. Meath",25414.00,34443.00,7.20,7.80,9.90,9.50,17.20,26.00,22.40,14.00
"039 Posseckstown, Co. Meath",25116.00,43209.00,10.40,13.70,17.40,8.20,17.30,19.20,13.80,7.60
"040 Staholmog, Co. Meath",25286.00,39058.00,10.80,10.50,10.80,9.50,17.80,27.50,13.20,11.90
"041 Tailtin, Co. Meath",24657.00,36431.00,6.70,9.90,12.10,13.40,17.00,27.40,13.50,10.20
"042 Trohanny, Co. Meath",26174.00,35527.00,10.00,9.50,13.30,7.40,18.20,25.60,16.10,8.10
"043 Ardcath, Co. Meath",28318.00,34259.00,6.90,8.10,15.00,13.40,13.30,18.70,24.50,8.10
"044 Duleek, Co. Meath",26785.00,39450.00,1.80,10.70,14.20,10.70,16.10,22.70,23.80,12.20
"045 Julianstown, Co. Meath",27825.00,41804.00,1.40,4.30,18.10,17.00,7.30,27.30,24.60,12.20
"046 Mellifont, Co. Meath",24147.00,54064.00,13.10,7.50,11.40,12.20,13.60,25.10,17.20,4.90
"047 St. Mary's (Part Rural), Co. Meath",29954.00,43171.00,0.40,4.00,16.90,13.60,10.70,29.30,25.30,7.60
"048 Stamullin, Co. Meath",30308.00,43608.00,2.80,5.50,15.40,16.00,10.60,24.70,25.00,7.90
"049 Ardbraccan, Co. Meath",29718.00,40174.00,3.70,9.10,14.20,9.00,18.50,27.50,18.00,8.50
"050 Ardmulchan, Co. Meath",33358.00,42885.00,5.60,10.30,10.20,15.30,16.60,22.20,19.70,3.70
"051 Bective, Co. Meath",26280.00,57485.00,4.10,8.40,10.10,11.60,13.90,31.20,20.80,5.00
"052 Castletown, Co. Meath",25259.00,38933.00,8.70,8.80,11.20,8.00,17.10,24.90,21.20,11.90
"053 Domhnach Phádraig, Co. Meath",32031.00,41040.00,5.90,11.40,11.40,9.10,13.50,30.20,18.50,8.10
"054 Kentstown, Co. Meath",29281.00,41644.00,3.60,7.40,12.60,12.70,16.80,25.30,21.50,8.90
"055 Navan Rural (Part Urban), Co. Meath",25933.00,39096.00,1.10,5.50,14.20,12.00,14.60,29.20,23.50,14.10
"056 Painestown, Co. Meath",30151.00,43232.00,5.10,7.10,13.70,12.90,17.60,25.20,18.30,7.10
"057 Rathkenny, Co. Meath",32380.00,36456.00,7.30,11.50,10.30,7.80,14.10,24.20,24.80,12.10
"058 Slane, Co. Meath",27834.00,47902.00,3.20,5.20,13.80,14.90,13.10,28.00,21.90,12.80
"059 Stackallan, Co. Meath",31093.00,41099.00,9.80,8.30,12.90,14.20,10.10,24.90,19.80,6.50
"060 Tara, Co. Meath",30531.00,45793.00,5.70,10.40,10.00,16.60,12.70,26.50,18.10,4.80
"061 Crossakeel, Co. Meath",28267.00,39745.00,10.20,11.10,11.60,14.70,9.60,21.90,20.80,13.20
"062 Crosskeys, Co. Meath",28240.00,45075.00,5.30,8.50,14.00,3.10,21.70,27.20,20.20,15.30
"063 Killallon, Co. Meath",28815.00,46306.00,13.30,11.50,10.40,7.90,16.30,20.20,20.30,4.80
"064 Killeagh, Co. Meath",25027.00,36070.00,15.20,6.00,9.20,9.50,18.60,23.10,18.40,11.20
"065 Knocklough, Co. Meath",25368.00,35716.00,10.30,8.70,15.70,9.20,23.10,16.10,17.00,10.70
"066 Moylagh, Co. Meath",26860.00,33932.00,9.20,7.00,8.80,8.10,31.00,20.20,15.70,12.50
"067 Oldcastle, Co. Meath",22936.00,35179.00,5.50,5.40,10.10,7.30,31.80,18.00,21.80,18.40
"068 Stonefield, Co. Meath",23637.00,34429.00,18.70,7.80,12.50,10.50,15.30,14.40,20.80,9.20
"069 Ardnamullan, Co. Meath",26130.00,36341.00,4.70,9.60,14.90,10.00,14.00,24.40,22.50,15.50
"070 Baile Átha Buí, Co. Meath",23310.00,35965.00,2.60,8.70,13.50,11.30,17.80,27.40,18.70,15.80
"071 Ballyboggan, Co. Meath",24607.00,38021.00,10.90,11.30,15.40,7.70,15.00,23.00,16.60,11.90
"072 Ballyconnell, Co. Meath",26354.00,40715.00,7.20,13.10,14.30,10.30,10.90,26.20,18.00,6.90
"073 Castlejordan, Co. Meath",23916.00,34411.00,10.20,10.90,13.60,4.20,21.30,18.60,21.20,20.90
"074 Castlerickard, Co. Meath",26010.00,40535.00,2.60,9.90,13.60,13.60,12.60,26.00,21.80,7.00
"075 Cloghbrack, Co. Meath",25695.00,36749.00,10.40,10.40,13.10,7.70,13.10,29.00,16.40,14.50
"076 Clonmacduff, Co. Meath",32580.00,39326.00,4.40,12.70,6.90,8.60,18.20,28.60,20.60,2.10
"077 Gallow, Co. Meath",32175.00,38448.00,7.90,13.30,15.90,19.10,4.50,24.90,14.40,2.90
"078 Galtrim, Co. Meath",29489.00,42402.00,9.30,7.50,12.80,14.80,8.20,32.90,14.50,4.70
"079 Grennanstown, Co. Meath",28187.00,41666.00,5.70,8.80,10.70,12.50,16.20,25.50,20.50,9.90
"080 Hill of Down, Co. Meath",23621.00,35578.00,7.00,11.00,7.70,8.60,15.00,26.30,24.50,3.00
"081 Innfield, Co. Meath",24807.00,43255.00,1.80,7.40,14.30,13.60,12.60,25.10,25.10,8.20
"082 Cill Bhríde, Co. Meath",36416.00,47040.00,5.40,8.90,13.20,13.90,8.40,31.60,18.60,5.10
"083 Kilcooly, Co. Meath",34936.00,47998.00,5.90,6.40,13.60,10.70,16.90,23.40,23.20,2.50
"084 Kildalky, Co. Meath",29932.00,41604.00,4.30,8.80,13.40,13.90,14.00,24.50,21.00,12.10
"085 Killaconnigan, Co. Meath",20800.00,35460.00,3.00,7.00,13.20,12.00,14.20,24.40,26.20,20.20
"086 Killyon, Co. Meath",24709.00,37471.00,10.60,8.10,15.40,11.00,12.20,26.10,16.60,8.00
"087 Laracor, Co. Meath",28460.00,42516.00,6.40,9.10,11.60,10.50,13.00,33.90,15.50,3.20
"088 Rahinstown, Co. Meath",23332.00,50555.00,6.00,11.30,18.10,6.40,11.40,33.00,13.70,7.50
"089 Rathmolyon, Co. Meath",30376.00,39625.00,6.00,8.30,14.00,13.50,11.50,27.60,19.10,7.90
"090 An Ráth Mhór, Co. Meath",27335.00,43501.00,6.40,8.80,11.80,11.40,12.30,31.40,17.70,6.70
"091 Summerhill, Co. Meath",24948.00,43234.00,3.90,7.10,19.60,15.80,10.30,25.40,18.00,15.90
"092 Trim Rural (Part Urban), Co. Meath",27631.00,43846.00,1.40,6.00,13.80,14.40,12.20,29.50,22.70,10.50
"001 Birr Urban, Co. Offaly",24448.00,38730.00,1.80,3.60,9.60,7.40,22.60,31.50,23.50,24.30
"002 Tullamore Urban, Co. Offaly",26520.00,40125.00,0.90,3.60,9.80,8.60,16.20,42.70,18.20,24.20
"003 Ballycumber, Co. Offaly",26591.00,38005.00,8.00,7.90,7.30,10.50,14.90,33.30,18.00,18.90
"004 Banagher, Co. Offaly",25224.00,35774.00,3.60,5.80,12.70,9.30,17.80,35.10,15.70,19.50
"005 Birr Rural, Co. Offaly",25867.00,36478.00,4.80,5.10,9.50,8.80,17.40,27.40,27.00,20.70
"006 Broughal, Co. Offaly",NA,NA,19.90,1.70,11.90,3.00,19.20,31.80,12.50,11.10
"007 Cloghan, Co. Offaly",25660.00,35969.00,5.50,7.10,8.90,5.90,25.70,29.40,17.60,19.50
"008 Clonmacnoise, Co. Offaly",29809.00,37469.00,8.40,8.80,12.10,7.00,18.00,26.90,18.80,6.10
"009 Derrinboy, Co. Offaly",30259.00,35977.00,13.90,8.50,10.90,6.40,15.50,36.20,8.60,6.20
"010 Derryad, Co. Offaly",30427.00,45674.00,16.70,5.80,8.30,7.30,18.60,30.00,13.30,10.10
"011 Doon, Co. Offaly",33567.00,35356.00,8.00,6.30,8.60,11.40,11.80,35.20,18.80,7.80
"012 Dromoyle, Co. Offaly",26382.00,32973.00,19.10,9.40,11.00,2.10,9.40,27.90,21.20,6.50
"013 Drumcullen, Co. Offaly",31738.00,42961.00,15.50,7.80,10.80,6.70,17.80,29.40,12.00,8.00
"014 Eglish, Co. Offaly",NA,NA,11.10,5.80,10.40,13.30,17.90,26.80,14.60,16.10
"015 Ferbane, Co. Offaly",27560.00,38201.00,3.80,4.40,9.70,8.50,21.60,29.80,22.20,10.80
"016 Gallen, Co. Offaly",27210.00,31414.00,9.90,5.30,9.30,3.10,22.70,31.00,18.80,23.60
"017 Hinds, Co. Offaly",29220.00,32754.00,5.30,6.20,9.70,8.20,19.00,22.80,28.80,4.50
"018 Huntston, Co. Offaly",33819.00,39356.00,9.40,10.50,8.90,10.40,21.00,26.10,13.80,15.90
"019 Kilcolman, Co. Offaly",28518.00,46618.00,13.90,7.70,12.70,7.80,9.80,32.00,16.00,15.20
"020 Kilcormac, Co. Offaly",25364.00,37475.00,5.90,8.60,10.60,6.90,24.10,30.50,13.50,18.80
"021 Killyon, Co. Offaly",31961.00,46048.00,21.80,1.80,5.70,13.30,15.50,25.30,16.50,5.70
"022 Kinnitty, Co. Offaly",23036.00,34297.00,11.00,6.90,6.80,6.70,13.90,35.10,19.60,17.70
"023 Knockbarron, Co. Offaly",30647.00,37551.00,15.30,3.00,9.30,11.20,10.30,37.90,13.00,18.80
"024 Lea, Co. Offaly",28719.00,34762.00,12.10,3.20,5.20,9.50,21.60,31.50,16.80,17.10
"025 Letter, Co. Offaly",NA,NA,10.20,4.60,14.10,7.90,11.10,41.70,10.40,7.80
"026 Lumcloon, Co. Offaly",28748.00,36338.00,9.80,6.90,8.20,7.00,28.80,22.30,17.10,17.50
"027 Lusmagh, Co. Offaly",28737.00,38410.00,9.40,7.70,9.00,5.00,13.10,36.90,18.90,10.20
"028 Mounterin, Co. Offaly",34768.00,38969.00,11.70,0.50,10.60,8.90,18.00,34.10,16.30,4.90
"029 Moyclare, Co. Offaly",30756.00,47500.00,5.90,7.40,10.20,6.50,30.80,20.90,18.40,6.80
"030 Seirkieran, Co. Offaly",24604.00,37330.00,11.10,7.70,9.60,8.50,16.80,31.10,15.10,9.90
"031 Shannonbridge, Co. Offaly",31512.00,37769.00,12.30,1.10,7.70,4.30,33.60,26.80,14.20,9.30
"032 Shannonharbour, Co. Offaly",32045.00,33615.00,11.20,4.70,7.80,8.20,20.60,32.30,15.20,12.10
"033 Srah, Co. Offaly",28893.00,29276.00,5.40,9.80,6.60,7.20,26.60,21.70,22.70,21.10
"035 Ballyburly, Co. Offaly",25418.00,35471.00,4.80,7.10,14.30,8.70,19.70,23.60,21.80,17.50
"036 Ballymacwilliam, Co. Offaly",31348.00,39549.00,6.00,10.00,8.00,9.10,19.50,27.90,19.50,13.00
"037 Bracknagh, Co. Offaly",28144.00,40624.00,8.40,11.10,10.60,13.30,13.90,23.80,18.90,15.70
"038 Clonbulloge, Co. Offaly",26652.00,39511.00,10.80,16.20,8.50,9.00,15.10,19.60,20.80,16.90
"039 Clonmore, Co. Offaly",19123.00,38895.00,8.30,11.80,13.00,8.50,17.90,25.80,14.70,9.70
"040 Croghan, Co. Offaly",30652.00,31189.00,10.10,8.90,7.00,8.30,24.80,25.30,15.60,9.60
"041 Edenderry Rural, Co. Offaly",29497.00,41098.00,5.50,8.40,13.90,11.40,14.40,31.50,14.90,8.60
"042 Edenderry Urban, Co. Offaly",22871.00,35261.00,2.60,9.70,12.70,6.60,27.40,19.50,21.50,21.90
999 Esker / Ballaghassaan,31261.00,43003.00,9.00,4.80,8.70,6.60,24.10,28.70,18.00,9.00
"044 Knockdrin, Co. Offaly",26270.00,35686.00,10.00,14.80,15.90,6.80,20.90,17.40,14.10,11.70
"045 Monasteroris, Co. Offaly",25767.00,48774.00,7.50,5.90,10.30,13.00,19.70,24.80,18.90,7.80
"046 Aghancon, Co. Offaly",24865.00,35239.00,19.70,6.10,9.20,8.80,14.90,27.10,14.30,9.10
"047 Ballincor, Co. Offaly",21327.00,49275.00,12.50,9.20,9.80,11.00,14.00,27.60,15.90,1.70
"048 Barna, Co. Offaly",NA,NA,28.60,2.50,8.30,7.70,15.80,22.50,14.60,15.50
"049 Cangort, Co. Offaly",NA,NA,20.10,10.20,9.00,8.30,10.40,26.10,15.90,16.10
"050 Cullenwaine, Co. Offaly",25170.00,45313.00,13.00,5.50,8.20,5.50,13.70,33.70,20.40,10.00
"051 Dunkerrin, Co. Offaly",26758.00,35460.00,22.10,7.40,10.70,5.80,15.80,25.00,13.20,7.40
"052 Ettagh, Co. Offaly",28812.00,37809.00,8.60,7.70,13.20,10.70,11.90,32.00,16.00,8.80
"053 Gorteen, Co. Offaly",26364.00,46745.00,17.90,5.80,15.00,4.90,12.50,27.20,16.70,12.20
"054 Mountheaton, Co. Offaly",27254.00,38581.00,12.70,4.50,8.80,5.60,17.30,32.90,18.20,12.70
"055 Roscomroe, Co. Offaly",NA,NA,22.40,6.30,12.70,2.60,13.50,29.20,13.30,14.90
"056 Shinrone, Co. Offaly",21371.00,36466.00,8.30,6.50,9.70,5.40,16.80,29.50,23.80,18.00
"057 Templeharry, Co. Offaly",23031.00,34921.00,14.50,0.70,11.50,8.20,12.10,25.90,27.00,17.50
"058 Tulla, Co. Offaly",NA,NA,14.60,13.10,9.50,3.00,13.10,27.40,19.40,5.60
"059 Ballycommon, Co. Offaly",31811.00,35331.00,5.70,7.40,7.80,6.10,18.80,35.50,18.70,8.20
"060 Ballyshear, Co. Offaly",27992.00,47905.00,8.70,8.50,10.10,13.10,16.20,23.20,20.20,8.70
"061 Bawn, Co. Offaly",25954.00,33364.00,14.10,10.90,9.70,7.70,8.50,28.80,20.20,13.80
"062 Cappancur, Co. Offaly",31733.00,44485.00,5.40,5.70,6.70,6.10,19.80,40.10,16.20,13.70
"063 Clara, Co. Offaly",26964.00,40234.00,1.60,3.80,9.40,7.90,23.30,32.40,21.50,22.60
"064 Clonygowan, Co. Offaly",29757.00,41984.00,6.80,8.00,9.80,12.60,12.70,28.10,22.10,13.00
"065 Daingean, Co. Offaly",22894.00,34339.00,3.50,7.40,11.80,5.90,22.40,28.40,20.60,19.70
"066 Derrycooley, Co. Offaly",23631.00,33694.00,7.80,6.80,9.10,8.80,20.80,26.40,20.30,15.30
"067 Durrow, Co. Offaly",34179.00,44368.00,4.30,5.60,9.40,7.70,16.40,39.70,16.90,6.60
"068 Geashill, Co. Offaly",29854.00,37738.00,5.50,5.60,8.30,7.50,21.10,33.70,18.20,11.90
"069 Gorteen, Co. Offaly",34575.00,39266.00,8.80,3.90,5.50,11.20,15.20,39.20,16.30,13.80
"070 Hammerlane, Co. Offaly",26776.00,44210.00,5.40,6.40,12.20,8.50,16.70,31.70,19.10,8.90
"071 Kilclonfert, Co. Offaly",32422.00,39250.00,11.70,5.60,11.10,10.10,19.60,25.50,16.50,11.10
"072 Kilcumreragh, Co. Offaly",30458.00,34855.00,10.60,9.50,8.60,5.00,11.50,33.40,21.30,6.30
"073 Killeigh, Co. Offaly",31864.00,36823.00,5.00,6.60,9.90,5.80,20.40,36.50,15.80,9.20
"074 Killooly, Co. Offaly",34273.00,39585.00,17.20,8.00,8.90,6.70,18.60,24.70,16.00,3.40
"075 Killoughy, Co. Offaly",28757.00,31990.00,5.90,8.40,12.60,7.30,14.40,37.40,14.00,12.60
"076 Mountbriscoe, Co. Offaly",27458.00,41630.00,9.40,8.20,9.90,7.40,23.70,24.00,17.40,9.50
"077 O'Dempsey, Co. Offaly",29593.00,27589.00,12.10,4.60,19.80,6.50,14.20,26.30,16.50,10.20
"078 Portarlington North, Co. Offaly",23301.00,37273.00,2.50,8.30,13.00,8.20,13.20,29.90,24.90,20.70
"079 Rahan, Co. Offaly",29949.00,28530.00,6.30,9.20,7.40,10.80,15.00,34.90,16.40,11.60
"080 Raheenakeeran, Co. Offaly",25901.00,35353.00,9.70,9.60,7.30,8.00,26.20,22.50,16.60,11.80
"081 Rathfeston, Co. Offaly",25987.00,38746.00,7.20,6.00,10.30,7.20,26.50,22.70,20.00,11.80
"082 Rathrobin, Co. Offaly",21640.00,39166.00,12.90,8.60,12.10,10.40,16.10,27.50,12.30,10.00
"083 Screggan, Co. Offaly",31058.00,49075.00,2.50,6.90,8.00,9.10,15.10,42.10,16.40,10.20
"084 Silverbrook, Co. Offaly",34245.00,43180.00,6.80,5.30,8.90,5.60,14.60,38.10,20.70,6.40
"085 Tinamuck, Co. Offaly",31463.00,38876.00,8.80,5.20,14.40,8.70,12.10,33.60,17.30,8.90
"086 Tinnycross, Co. Offaly",31648.00,39994.00,7.70,7.50,11.30,7.00,15.80,33.70,17.10,5.00
"087 Tullamore Rural, Co. Offaly",29493.00,37500.00,2.00,4.50,9.90,7.10,17.90,41.60,16.90,11.20
